id_escola,nome_escola,rede,etapa,mesorregiao,municipio,ano,ideb,taxa_aprovacao,taxa_evasao,professores_por_aluno,infraestrutura_indice,internet_mbps,inclusao_ne_indice,paridade_genero,prof_math,prof_port,frequencia,lat,lon
10000,Escola Prof. Anísio Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2019,5.15,96.9,3.62,0.076,0.63,23.9,0.71,0.87,0.54,0.74,100.0,-7.1544,-35.02856
10000,Escola Prof. Anísio Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2020,4.84,92.0,5.55,0.083,0.63,25.5,0.68,0.97,0.56,0.68,91.1,-7.1544,-35.02856
10000,Escola Prof. Anísio Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2021,5.23,99.5,5.75,0.082,0.53,48.2,0.68,0.9,0.71,0.63,86.6,-7.1544,-35.02856
10000,Escola Prof. Anísio Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2022,5.03,96.2,5.48,0.089,0.56,46.3,0.76,0.95,0.44,0.79,91.3,-7.1544,-35.02856
10000,Escola Prof. Anísio Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2023,4.98,97.3,4.84,0.07,0.52,33.9,0.88,1.02,0.8,0.71,100.0,-7.1544,-35.02856
10000,Escola Prof. Anísio Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2024,5.11,89.3,5.5,0.089,0.56,35.3,0.73,0.91,0.53,0.75,91.2,-7.1544,-35.02856
10001,Escola Estadual Raquel Pessoa,Estadual,Médio,Litoral,João Pessoa,2019,4.47,88.6,2.83,0.078,0.7,40.3,0.69,0.95,0.46,0.97,87.6,-7.0777,-34.99284
10001,Escola Estadual Raquel Pessoa,Estadual,Médio,Litoral,João Pessoa,2020,4.46,87.2,1.84,0.063,0.62,57.8,0.7,0.94,0.75,0.78,90.2,-7.0777,-34.99284
10001,Escola Estadual Raquel Pessoa,Estadual,Médio,Litoral,João Pessoa,2021,4.35,87.5,4.5,0.09,0.74,30.9,0.7,0.99,0.46,0.61,91.5,-7.0777,-34.99284
10001,Escola Estadual Raquel Pessoa,Estadual,Médio,Litoral,João Pessoa,2022,4.76,88.1,3.35,0.07,0.68,42.0,0.86,1.0,0.49,0.61,95.6,-7.0777,-34.99284
10001,Escola Estadual Raquel Pessoa,Estadual,Médio,Litoral,João Pessoa,2023,4.63,85.8,3.41,0.082,0.69,61.0,0.9,1.02,0.64,0.54,87.9,-7.0777,-34.99284
10001,Escola Estadual Raquel Pessoa,Estadual,Médio,Litoral,João Pessoa,2024,4.66,89.7,3.09,0.064,0.77,47.3,0.86,1.0,0.59,0.79,95.4,-7.0777,-34.99284
10002,Escola Prof. Severino Carvalho,Municipal,Médio,Mata,João Pessoa,2019,5.34,94.2,3.95,0.078,0.74,63.5,0.76,0.94,0.51,0.6,91.7,-7.17456,-34.943
10002,Escola Prof. Severino Carvalho,Municipal,Médio,Mata,João Pessoa,2020,5.81,91.0,4.74,0.067,0.77,75.8,0.84,0.94,0.49,0.73,91.1,-7.17456,-34.943
10002,Escola Prof. Severino Carvalho,Municipal,Médio,Mata,João Pessoa,2021,5.65,88.0,2.31,0.066,0.73,47.8,0.8,0.92,0.64,0.72,88.5,-7.17456,-34.943
10002,Escola Prof. Severino Carvalho,Municipal,Médio,Mata,João Pessoa,2022,5.41,92.3,3.94,0.081,1.0,50.8,0.64,0.93,0.68,0.73,94.1,-7.17456,-34.943
10002,Escola Prof. Severino Carvalho,Municipal,Médio,Mata,João Pessoa,2023,6.08,94.5,3.94,0.067,0.57,46.4,0.7,0.97,0.56,0.69,100.0,-7.17456,-34.943
10002,Escola Prof. Severino Carvalho,Municipal,Médio,Mata,João Pessoa,2024,5.46,89.6,4.23,0.071,0.66,18.8,0.71,1.01,0.53,0.7,92.2,-7.17456,-34.943
10003,Escola Colégio Anísio da Silva,Municipal,Fundamental,Sertão,João Pessoa,2019,4.19,76.7,4.75,0.101,0.71,38.4,0.95,0.96,0.63,0.62,89.3,-7.03676,-35.01623
10003,Escola Colégio Anísio da Silva,Municipal,Fundamental,Sertão,João Pessoa,2020,4.17,74.2,5.13,0.101,0.86,27.5,0.75,1.01,0.95,0.69,95.9,-7.03676,-35.01623
10003,Escola Colégio Anísio da Silva,Municipal,Fundamental,Sertão,João Pessoa,2021,4.62,78.3,5.02,0.07,0.78,38.1,0.83,1.0,0.76,0.72,87.4,-7.03676,-35.01623
10003,Escola Colégio Anísio da Silva,Municipal,Fundamental,Sertão,João Pessoa,2022,4.2,74.7,4.12,0.065,0.6,51.8,0.66,1.06,0.49,0.81,91.9,-7.03676,-35.01623
10003,Escola Colégio Anísio da Silva,Municipal,Fundamental,Sertão,João Pessoa,2023,4.73,77.8,4.13,0.058,0.61,55.8,0.97,1.06,0.55,0.72,94.0,-7.03676,-35.01623
10003,Escola Colégio Anísio da Silva,Municipal,Fundamental,Sertão,João Pessoa,2024,4.81,79.1,3.18,0.071,0.71,46.9,0.84,0.87,0.33,0.67,89.6,-7.03676,-35.01623
10004,Escola Prof. Raquel Queiroz,Estadual,Médio,Borborema,João Pessoa,2019,4.39,87.0,10.36,0.063,0.87,59.9,0.57,1.07,0.58,0.76,94.5,-7.21543,-35.0047
10004,Escola Prof. Raquel Queiroz,Estadual,Médio,Borborema,João Pessoa,2020,4.78,86.3,10.49,0.082,0.76,52.8,0.71,1.05,0.38,0.84,90.8,-7.21543,-35.0047
10004,Escola Prof. Raquel Queiroz,Estadual,Médio,Borborema,João Pessoa,2021,4.75,88.9,10.38,0.075,0.84,61.3,0.64,0.94,0.58,0.73,92.3,-7.21543,-35.0047
10004,Escola Prof. Raquel Queiroz,Estadual,Médio,Borborema,João Pessoa,2022,4.88,92.5,10.01,0.066,0.82,87.9,0.9,1.07,0.61,0.78,86.2,-7.21543,-35.0047
10004,Escola Prof. Raquel Queiroz,Estadual,Médio,Borborema,João Pessoa,2023,4.54,88.2,8.23,0.051,0.75,65.4,0.84,1.03,0.71,0.83,94.8,-7.21543,-35.0047
10004,Escola Prof. Raquel Queiroz,Estadual,Médio,Borborema,João Pessoa,2024,4.86,85.6,8.75,0.073,0.75,58.7,0.81,0.99,0.33,0.59,91.6,-7.21543,-35.0047
10005,Escola Prof. Severino Queiroz,Municipal,Médio,Litoral,João Pessoa,2019,4.93,90.8,4.2,0.055,0.72,54.2,0.81,0.94,0.81,0.69,96.7,-7.17921,-34.98948
10005,Escola Prof. Severino Queiroz,Municipal,Médio,Litoral,João Pessoa,2020,5.33,87.5,5.8,0.076,0.55,55.5,0.68,1.01,0.75,0.5,87.3,-7.17921,-34.98948
10005,Escola Prof. Severino Queiroz,Municipal,Médio,Litoral,João Pessoa,2021,5.07,93.6,5.09,0.086,0.71,14.3,0.61,0.98,0.67,0.68,83.7,-7.17921,-34.98948
10005,Escola Prof. Severino Queiroz,Municipal,Médio,Litoral,João Pessoa,2022,5.04,89.7,4.29,0.065,0.65,19.1,0.77,1.03,0.5,0.73,89.9,-7.17921,-34.98948
10005,Escola Prof. Severino Queiroz,Municipal,Médio,Litoral,João Pessoa,2023,4.73,86.6,3.99,0.09,0.77,35.5,0.71,0.99,0.61,0.66,94.5,-7.17921,-34.98948
10005,Escola Prof. Severino Queiroz,Municipal,Médio,Litoral,João Pessoa,2024,4.86,87.6,3.1,0.055,0.8,55.5,0.94,0.97,0.69,0.71,100.0,-7.17921,-34.98948
10006,Escola Colégio Raquel Pereira,Estadual,Fundamental,Borborema,João Pessoa,2019,4.23,84.2,3.5,0.058,0.82,54.1,0.75,1.09,0.81,0.74,100.0,-7.06635,-34.97119
10006,Escola Colégio Raquel Pereira,Estadual,Fundamental,Borborema,João Pessoa,2020,4.73,89.1,4.22,0.066,0.7,68.9,0.57,0.98,0.55,0.55,96.8,-7.06635,-34.97119
10006,Escola Colégio Raquel Pereira,Estadual,Fundamental,Borborema,João Pessoa,2021,4.79,86.7,4.73,0.088,0.76,68.5,0.81,1.07,0.77,0.67,88.4,-7.06635,-34.97119
10006,Escola Colégio Raquel Pereira,Estadual,Fundamental,Borborema,João Pessoa,2022,5.04,90.3,4.94,0.08,0.55,46.9,0.76,1.0,0.41,0.8,100.0,-7.06635,-34.97119
10006,Escola Colégio Raquel Pereira,Estadual,Fundamental,Borborema,João Pessoa,2023,4.6,84.7,4.6,0.079,0.61,44.6,0.91,1.0,0.55,0.83,90.0,-7.06635,-34.97119
10006,Escola Colégio Raquel Pereira,Estadual,Fundamental,Borborema,João Pessoa,2024,4.81,88.8,4.8,0.085,0.57,67.1,0.72,0.95,0.71,0.7,95.3,-7.06635,-34.97119
10007,Escola Municipal Anísio Pessoa,Municipal,Fundamental,Borborema,João Pessoa,2019,5.1,99.5,8.77,0.061,0.57,23.5,0.87,1.03,0.82,0.68,95.3,-7.18635,-35.06303
10007,Escola Municipal Anísio Pessoa,Municipal,Fundamental,Borborema,João Pessoa,2020,5.22,99.5,9.24,0.096,0.69,34.4,0.79,0.93,0.53,0.46,92.2,-7.18635,-35.06303
10007,Escola Municipal Anísio Pessoa,Municipal,Fundamental,Borborema,João Pessoa,2021,5.89,99.5,9.57,0.08,0.52,33.0,0.95,1.01,0.76,0.72,91.6,-7.18635,-35.06303
10007,Escola Municipal Anísio Pessoa,Municipal,Fundamental,Borborema,João Pessoa,2022,4.85,99.5,8.69,0.077,0.48,28.4,0.84,1.06,0.76,0.75,89.5,-7.18635,-35.06303
10007,Escola Municipal Anísio Pessoa,Municipal,Fundamental,Borborema,João Pessoa,2023,5.14,99.5,9.51,0.075,0.54,49.3,0.67,0.94,0.43,0.82,88.8,-7.18635,-35.06303
10007,Escola Municipal Anísio Pessoa,Municipal,Fundamental,Borborema,João Pessoa,2024,5.71,99.5,9.0,0.064,0.44,5.0,0.8,1.02,0.68,0.53,96.2,-7.18635,-35.06303
10008,Escola Colégio Nabuco Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2019,4.43,88.4,4.94,0.079,0.53,37.3,1.0,0.92,0.79,0.41,83.7,-7.12579,-34.97444
10008,Escola Colégio Nabuco Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2020,4.47,92.1,4.18,0.079,0.57,42.9,0.86,0.91,0.58,0.67,93.9,-7.12579,-34.97444
10008,Escola Colégio Nabuco Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2021,4.5,88.8,3.74,0.081,0.56,33.0,0.83,0.93,0.58,0.66,95.3,-7.12579,-34.97444
